position_title,Core Responsibilities,Required Skill
desainer web,Sebagai Desainer Web peran Anda mencakup pembuatan dan pengelolaan situs web merancang antarmuka untuk kemudahan penggunaan berkolaborasi dalam solusi teknis meningkatkan pengalaman pengguna menangani konten dan menggunakan teknologi web modern untuk memastikan situs web responsif dan operasional.,Keterampilan yang diperlukan untuk seorang Desainer Web mencakup kemahiran dalam Adobe Creative Suite keterampilan HTML/CSS/JavaScript yang kuat pemahaman dengan sistem manajemen konten dan pengalaman dalam desain produk web dengan portofolio yang menampilkan keterampilan tipografi interaksi dan desain visual.
desainer ui,proyek kontribusi utama membuat desain menyelaraskan visi kreatif merek klien strategi bisnis berkolaborasi antar tim memberikan arahan seni, pengalaman desain ui alat desain kemahiran seperti sketsa invision ilustrator pengalaman desain webmobile pixelfile desain sempurna pengalaman desain gerak
insinyur perangkat lunak,Sebagai Insinyur Perangkat Lunak Anda membangun fitur menulis perangkat lunak mengembangkan merancang menguji dan mengintegrasikan produk berkolaborasi dalam API memecahkan masalah memimpin proyek merancang aplikasi SaaS berkontribusi pada implementasi perangkat lunak memimpin pengembangan platform memastikan keamanan layanan dan memberikan produk yang memenuhi kebutuhan pelanggan.,Keterampilan yang diperlukan untuk Insinyur Perangkat Lunak mencakup kemahiran dalam berbagai bahasa pemrograman seperti Java Python C# atau C++ pengetahuan tentang praktik terbaik pengembangan perangkat lunak pengalaman dengan pengembangan web full-stack termasuk HTML CSS dan JavaScript keakraban dengan kerangka kerja seperti React atau Angular pemahaman tentang database relasional seperti MySQL atau PostgreSQL keahlian dalam teknologi cloud seperti AWS atau Google Cloud pengalaman dengan metodologi Agile dan kemampuan menulis dengan bersih terukur dan kode yang dapat dipelihara
insinyur front-end,desain membangun platform berbasis internet berbasis data yang sangat dinamis memimpin pengujian pengembangan front-end aplikasi seluler web melakukan peninjauan kode mematuhi standar pengkodean menjaga kualitas fokus memenuhi tenggat waktu pengiriman,keakraban mendalam dengan lingkungan digital pengalaman bertahun-tahun teknologi frontend seperti pengalaman react jquery mengembangkan pengujian aplikasi javascript modern pengetahuan xhtml css git gulpwebpack kemampuan menerjemahkan desain html pengalaman komponen didorong arsitektur pengetahuan standar web aksesibilitas desain responsif
analis rantai pasokan,Sebagai Analis Rantai Pasokan tanggung jawabnya mencakup menganalisis dan merekonsiliasi data pengiriman mengelola inisiatif rantai pasokan untuk akun pelanggan bertindak sebagai ahli di bidangnya melakukan analisis data untuk mendukung proses rantai pasokan memberikan dukungan analitis di seluruh sumber pembelian inventaris dan logistik serta membantu dalam mengidentifikasi dan menyelesaikan masalah bisnis.,Keterampilan yang diperlukan untuk Analis Rantai Pasokan mencakup kemahiran dalam alat komputasi bisnis seperti Microsoft Office khususnya Excel untuk analisis data SAP dan spotfire membutuhkan pengalaman dalam manajemen rantai pasokan pengetahuan tentang manajemen inventaris keterampilan analitis dan matematika yang kuat pemahaman terhadap peraturan industri dan kemampuan untuk bekerja dengan kumpulan data besar untuk analisis dan visualisasi data.
pengembang perangkat lunak,Sebagai Pengembang Perangkat Lunak tanggung jawabnya mencakup mengembangkan solusi produk dan aplikasi SaaS membimbing pengembang junior berpartisipasi dalam tinjauan kode menyarankan perbaikan proses pengkodean memelihara basis kode menguji aplikasi merancang dan membangun komponen perangkat lunak dan bekerja secara kolaboratif di berbagai bidang tim.,Pengembang Perangkat Lunak membutuhkan pengalaman dengan kerangka web seperti Express Ruby on Rails Django Flask dan Spring MVC Mahir dalam bahasa modern seperti JavaScript Ruby Python Java dan Go mengimplementasikan solusi kompleks Gelar sarjana di bidang Ilmu Komputer atau bidang terkait lebih diutamakan Keterampilan pemrograman dasar database relasional NoSQL alat kolaborasi Agile seperti Slack Atlassian Keterampilan yang diinginkan termasuk PHP WordPress Laravel JS React Node.js TDD React.js Vue.js desain server klien Windows Keterampilan komunikasi kemahiran Unix Git kepemilikan proyek dalam tim kecil sangat penting Keterampilan yang bermanfaat termasuk Python AWS Java Spring Python Django Angular React Kubernetes Terraform Pengujian perangkat lunak dasar pengembangan aplikasi proses QA dan komunikasi klien yang efektif adalah hal yang penting.
insinyur uji firmware,uji driver firmware os android bsp menggunakan kerangka otomasi membuat kerangka kerja khusus antarmuka pemangku kepentingan selama proses pengujian, gelar sarjana kemahiran setara pengujian firmware android kerangka otomasi uji pengalaman pengujian driver perangkat protokol bsps seperti alat keakraban usb spi uart seperti jira confluence testrail appium selenium github jenkins circleci
pengembang uji,pembangunan desain meningkatkan layanan mikro yang dapat diskalakan dengan menggunakan skrip ketikan nodejs layanan aws bekerja dengan gesit lingkungan tim memberikan fitur jadwal yang ketat,skrip ketikan nodejs dynamodb redis docker kubernetes helm cicd alat seperti jenkins mengalami rest apis sistem eventdriven kerangka kerja pengujian otomasi pengembangan yang didorong oleh pengujian
analis data,Sebagai Analis Data tanggung jawabnya mencakup menilai dan memimpin organisasi dalam memahami paparan risiko dan kepatuhan terhadap peraturan privasi data mengerjakan laporan dan perselisihan pelanggan melakukan analisis proses bisnis mengembangkan logika pengkodean memelihara pelaporan keuangan melaksanakan penilaian risiko mendukung keterlibatan pelanggan membangun model keuangan mengawasi pelaporan sistem data menerapkan platform analisis data mengelola model data membangun infrastruktur intelijen bisnis dan memberikan dukungan analitis untuk pengambilan keputusan.,Kombinasi yang kuat dari keahlian teknis termasuk pengalaman dalam privasi pengawasan misalnya CCPA pencegahan penipuan pengembangan sistem perangkat lunak analisis pelaporan data pengetahuan keuangan akuntansi manajemen risiko teknis minat terhadap energi terbarukan manajemen data alat analisis SQL Python Tableau administrasi aplikasi termasuk sistem perbankan arsitektur perusahaan media pemasaran digital dan kemahiran alat BI Tableau Qlik Sense.
entri data,Sebagai Petugas Entri Data tanggung jawabnya mencakup melakukan tugas entri data sesuai dengan kebijakan yang ditetapkan memastikan keakuratan dan ketepatan waktu berpartisipasi dalam survei dan studi meninjau dokumentasi pinjaman menyiapkan aplikasi asuransi pelanggan memelihara database digital menangani tugas kantor dan mendukung berbagai peran seperti ritel pengembangan web dan layanan pelanggan.,Kemahiran dalam entri data perhatian terhadap detail akurasi keterampilan komunikasi untuk menyampaikan masalah secara lisan dan tertulis kemampuan untuk bekerja secara mandiri dengan keterampilan komputer internet dasar kemahiran dalam Microsoft Office Google Suite terutama Excel keterampilan organisasi yang kuat kemampuan multitasking dan keterampilan mengetik yang sangat baik.
